Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,55.387,55.697,55.016,55.294,10381759,0.0,0
2010-01-05,55.883,56.162,55.821,56.038,16914189,0.0,0
2010-01-06,56.565,56.998,56.534,56.75,20033996,0.0,0
2010-01-07,56.812,56.843,56.286,56.534,11163952,0.0,0
2010-01-08,56.688,57.091,56.595,56.812,15683744,0.0,0
2010-01-11,56.998,57.494,56.998,57.246,15729515,0.0,0
2010-01-12,56.874,57.246,56.41,56.781,14005577,0.0,0
2010-01-13,56.069,56.255,55.728,55.883,17142233,0.0,0
2010-01-14,56.162,56.503,56.162,56.286,11379186,0.0,0
2010-01-15,56.379,55.945,56.224,56.41,13190937,0.0,0
2010-01-18,55.171,55.511,54.892,55.294,16529101,0.0,0
2010-01-19,55.171,54.768,54.954,55.325,17485152,0.0,0
2010-01-20,54.52,54.799,54.303,54.427,30098548,0.0,0
2010-01-21,54.272,54.644,53.9,53.931,20718144,0.0,0
2010-01-22,52.971,53.312,52.661,53.095,37434508,0.0,0
2010-01-25,52.042,52.259,51.856,52.228,27485326,0.0,0
2010-01-26,52.414,52.754,51.732,52.104,24292298,0.0,0
2010-01-27,52.042,53.033,51.918,52.073,19620776,0.0,0
2010-01-28,52.259,53.064,52.259,52.692,18700737,0.0,0
2010-01-29,51.546,52.29,51.484,51.794,22798052,0.0,0
2010-02-01,51.422,52.197,51.422,51.949,15452820,0.0,0
2010-02-02,52.29,52.692,52.135,52.383,13597241,0.0,0
2010-02-03,52.166,53.219,52.166,53.126,18565577,0.0,0
2010-02-04,52.476,52.476,51.887,51.949,16265410,0.0,0
2010-02-05,49.626,50.431,49.626,49.997,47883392,0.0,0
2010-02-08,49.595,49.657,49.13,49.44,30245172,0.0,0
2010-02-09,48.727,49.347,48.325,49.13,36011574,0.0,0
2010-02-10,49.564,49.873,48.975,49.595,20746885,0.0,0
2010-02-11,50.09,50.555,50.059,50.4,18500443,0.0,0
2010-02-12,49.781,50.183,49.719,50.028,20143047,0.0,0
2010-02-17,50.803,51.236,50.679,50.989,15582433,0.0,0
2010-02-18,51.236,51.391,51.082,51.144,11561739,0.0,0
2010-02-19,51.051,51.051,50.059,50.214,16321710,0.0,0
2010-02-22,51.794,51.887,50.214,51.825,19066368,0.0,0
2010-02-23,51.546,53.033,51.36,52.847,27232287,0.0,0
2010-02-24,52.042,52.785,51.856,52.414,22292897,0.0,0
2010-02-25,53.157,53.281,52.445,52.847,29625185,0.0,0
2010-02-26,53.281,53.529,53.157,53.188,28304616,0.0,0
2010-03-01,53.188,53.777,53.188,53.684,32200175,0.0,0
2010-03-02,50.09,53.684,49.78,49.904,137341070,0.0,0
2010-03-03,50.369,50.648,50.09,50.462,35640530,0.0,0
